Timestamp,Location,Family member,Age,Male members,Female members,Building age,Land size,Male guest room,Female guest room,Living room,Outside room,,total family members ,,,,
2019/05/24 12:24:00 pm GMT-6,2.00,1.00,40.00,2.00,2.00,2013.00,312.00,2.00,0.00,360.00,0.00,,4.00,,,,
2019/05/24 12:26:30 pm GMT-6,1.00,1.00,40.00,2.00,1.00,2018.00,300.00,2.00,2.00,360.00,360.00,,3.00,,,,
2019/05/24 12:39:50 pm GMT-6,5.00,1.00,40.00,3.00,3.00,2013.00,900.00,4.00,48.00,200.00,0.00,,6.00,,,,
2019/05/24 12:52:02 pm GMT-6,2.00,1.00,40.00,2.00,3.00,2014.00,400.00,5.00,0.00,360.00,0.00,,5.00,,,,
2019/05/24 1:33:47 pm GMT-6,2.00,1.00,40.00,2.00,2.00,2016.00,450.00,2.00,0.00,50.00,250.00,,4.00,,,,
2019/05/24 3:09:18 pm GMT-6,1.00,1.00,40.00,2.00,3.00,1989.00,600.00,5.00,0.00,360.00,360.00,,5.00,,,,
2019/05/24 5:05:53 pm GMT-6,2.00,1.00,40.00,5.00,2.00,2005.00,250.00,5.00,0.00,360.00,0.00,,7.00,,,,
2019/05/24 5:42:50 pm GMT-6,2.00,1.00,40.00,2.00,2.00,2008.00,450.00,20.00,30.00,360.00,360.00,,4.00,,,,
2019/05/24 5:52:38 pm GMT-6,5.00,2.00,40.00,8.00,5.00,1990.00,300.00,50.00,30.00,360.00,0.00,,13.00,,,,
2019/05/24 5:52:42 pm GMT-6,2.00,2.00,40.00,3.00,3.00,2004.00,312.00,10.00,60.00,360.00,200.00,,6.00,,,,
2019/05/24 5:57:32 pm GMT-6,4.00,2.00,40.00,4.00,2.00,2000.00,600.00,20.00,10.00,360.00,90.00,,6.00,,,,
2019/05/24 6:00:51 pm GMT-6,4.00,2.00,40.00,2.00,4.00,2004.00,300.00,1.00,29.00,360.00,0.00,,6.00,,,,
2019/05/24 6:17:45 pm GMT-6,2.00,3.00,40.00,7.00,3.00,2004.00,800.00,100.00,10.00,360.00,0.00,,10.00,,,,
2019/05/24 6:31:49 pm GMT-6,4.00,3.00,40.00,2.00,1.00,2015.00,425.00,30.00,30.00,360.00,90.00,,3.00,,,,
2019/05/24 6:41:06 pm GMT-6,1.00,1.00,40.00,4.00,2.00,2012.00,4000.00,4.00,6.00,360.00,340.00,,6.00,,,,
2019/05/24 6:44:40 pm GMT-6,4.00,2.00,40.00,3.00,6.00,1994.00,409.00,4.00,6.00,0.00,0.00,,9.00,,,,
2019/05/24 6:45:21 pm GMT-6,1.00,4.00,40.00,2.00,2.00,1979.00,520.00,1.00,1.00,360.00,360.00,,4.00,,,,
2019/05/24 8:16:19 pm GMT-6,2.00,1.00,40.00,2.00,4.00,2012.00,400.00,14.00,0.00,360.00,270.00,,6.00,,,,
2019/05/25 3:43:04 am GMT-6,4.00,3.00,40.00,2.00,5.00,2007.00,350.00,300.00,30.00,360.00,360.00,,7.00,,,,
2019/05/25 4:16:19 am GMT-6,2.00,2.00,40.00,5.00,2.00,2009.00,2400.00,1.00,8.00,360.00,360.00,,7.00,,,,
2019/05/25 7:45:44 am GMT-6,3.00,1.00,40.00,2.00,3.00,1989.00,600.00,15.00,0.00,360.00,0.00,,5.00,,,,
2019/05/25 8:29:14 am GMT-6,2.00,2.00,40.00,5.00,2.00,2015.00,300.00,360.00,0.00,360.00,0.00,,7.00,,,,
2019/05/25 8:52:38 am GMT-6,4.00,1.00,40.00,3.00,2.00,2016.00,350.00,200.00,100.00,360.00,360.00,,5.00,,,,
2019/05/25 9:15:45 am GMT-6,4.00,1.00,40.00,2.00,1.00,2010.00,250.00,20.00,50.00,360.00,200.00,,3.00,,,,
2019/05/25 4:04:00 pm GMT-6,2.00,1.00,40.00,5.00,5.00,2010.00,700.00,100.00,35.00,52.00,200.00,,10.00,,,,
2019/05/25 6:57:23 pm GMT-6,4.00,2.00,40.00,6.00,4.00,2013.00,450.00,4.00,4.00,360.00,0.00,,10.00,,,,
2019/05/25 7:36:39 pm GMT-6,2.00,1.00,40.00,4.00,3.00,2004.00,500.00,4.00,0.00,360.00,5.00,,7.00,,,,
2019/05/27 3:00:08 pm GMT-6,2.00,1.00,40.00,3.00,3.00,2009.00,360.00,2.00,2.00,2.00,0.00,,6.00,,,,
2019/05/22 2:08:08 pm GMT-6,2.00,1.00,41.00,7.00,3.00,1984.00,9500.00,48.00,70.00,360.00,360.00,,10.00,,,,
2019/05/24 12:17:19 pm GMT-6,4.00,1.00,41.00,2.00,3.00,2009.00,800.00,3.00,0.00,360.00,100.00,,5.00,,,,
2019/05/24 1:43:58 pm GMT-6,2.00,2.00,41.00,2.00,2.00,2014.00,406.00,50.00,5.00,360.00,0.00,,4.00,,,,
2019/05/24 5:53:44 pm GMT-6,2.00,1.00,41.00,5.00,2.00,1994.00,400.00,10.00,0.00,360.00,10.00,,7.00,,,,
